FSUNEMP,FSNK5T17,LIQRESOR,FSSLTDE2,FSSLTDED,FSOTHUN,FSGRINC,FSUSIZE,FSTOTDE2,FSSTDDE2,FSNONCIT,RAWERND,FSTOTDED,REALPROP,FSERNDED,FSERNDE2,FSNELDER,FSNDISCA,FSWAGES,FSWCOMP,FSSLTEXP,CERTHHSZ,CAT_ELIG,FSVEHAST,VEHICLEA
0.0,0.0,0.0,228.0,228.0,0.0,1041.0,1.0,492.0,201.0,0.0,118.0,492.0,0.0,117.0,175.0,0.0,0.0,589.0,0.0,617.0,1.0,1.0,0.0,1.0
0.0,2.0,0.0,0.0,0.0,0.0,389.0,3.0,134.0,134.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,2.0,0.0,417.0,417.0,0.0,852.0,4.0,726.0,139.0,2.0,170.0,726.0,0.0,170.0,170.0,0.0,0.0,852.0,0.0,853.0,4.0,0.0,0.0,1.0
0.0,2.0,0.0,0.0,417.0,0.0,170.0,3.0,170.0,0.0,0.0,0.0,611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0,3.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,0.0,0.0,417.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877.0,5.0,0.0,0.0,1.0
0.0,0.0,0.0,114.0,114.0,0.0,630.0,2.0,351.0,201.0,0.0,103.0,351.0,0.0,103.0,154.0,0.0,0.0,516.0,0.0,311.0,2.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,231.0,1.0,134.0,134.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,163.0,163.0,0.0,1226.0,2.0,652.0,201.0,0.0,183.0,652.0,0.0,183.0,274.0,0.0,0.0,916.0,0.0,532.0,2.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,417.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1015.0,2.0,337.0,134.0,0.0,203.0,337.0,0.0,203.0,203.0,0.0,0.0,1015.0,0.0,100.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,231.0,1.0,134.0,134.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,114.0,114.0,0.0,628.0,1.0,248.0,201.0,0.0,0.0,248.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,361.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,255.0,322.0,0.0,389.0,3.0,389.0,134.0,0.0,0.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,3.0,1.0,0.0,1.0
0.0,2.0,0.0,52.0,52.0,0.0,499.0,4.0,191.0,191.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,499.0,232.0,4.0,0.0,0.0,1.0
0.0,0.0,55.0,256.0,256.0,0.0,636.0,1.0,390.0,201.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.0,1.0,0.0,0.0,1.0
0.0,1.0,0.0,417.0,417.0,915.0,915.0,3.0,607.0,134.0,0.0,0.0,607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.0,3.0,0.0,0.0,1.0
0.0,0.0,23.0,273.0,273.0,0.0,924.0,3.0,407.0,201.0,0.0,0.0,407.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,668.0,3.0,0.0,0.0,1.0
0.0,3.0,0.0,0.0,0.0,0.0,1176.0,5.0,368.0,162.0,1.0,206.0,368.0,0.0,206.0,206.0,0.0,0.0,1032.0,0.0,232.0,5.0,1.0,0.0,1.0
0.0,0.0,32.0,133.0,133.0,0.0,722.0,1.0,267.0,201.0,0.0,0.0,267.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,427.0,1.0,0.0,0.0,1.0
1333.0,0.0,0.0,293.0,293.0,0.0,1333.0,3.0,427.0,201.0,0.0,0.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.0,3.0,0.0,0.0,1.0
0.0,2.0,0.0,15.0,15.0,0.0,993.0,5.0,375.0,177.0,0.0,199.0,375.0,0.0,198.0,213.0,0.0,0.0,993.0,0.0,332.0,5.0,0.0,0.0,1.0
0.0,1.0,0.0,162.0,162.0,0.0,593.0,2.0,296.0,201.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,2.0,0.0,0.0,1.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
0.0,0.0,0.0,390.0,390.0,0.0,623.0,4.0,529.0,209.0,0.0,0.0,529.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,632.0,4.0,0.0,0.0,1.0
0.0,2.0,0.0,255.0,319.0,0.0,389.0,3.0,389.0,137.0,0.0,0.0,453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,3.0,1.0,0.0,1.0
0.0,0.0,35.0,123.0,123.0,0.0,738.0,1.0,307.0,201.0,0.0,0.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,1.0,0.0,0.0,1.0
0.0,0.0,111.0,467.0,467.0,0.0,747.0,1.0,601.0,201.0,0.0,0.0,601.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,774.0,1.0,0.0,0.0,1.0
0.0,2.0,0.0,369.0,369.0,0.0,1189.0,3.0,663.0,201.0,0.0,160.0,663.0,0.0,160.0,240.0,0.0,0.0,800.0,0.0,817.0,3.0,1.0,0.0,1.0
0.0,0.0,0.0,397.0,397.0,0.0,603.0,1.0,531.0,201.0,0.0,0.0,531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1.0,1.0,0.0,1.0
0.0,2.0,0.0,417.0,417.0,700.0,1050.0,4.0,556.0,151.0,0.0,0.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.0,4.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,1744.0,4.0,600.0,139.0,0.0,349.0,600.0,0.0,348.0,348.0,0.0,0.0,1744.0,0.0,0.0,4.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,267.0,1.0,187.0,134.0,0.0,53.0,187.0,0.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,3.0,0.0,0.0,0.0,0.0,1794.0,4.0,443.0,139.0,0.0,219.0,443.0,0.0,218.0,218.0,0.0,0.0,1094.0,0.0,431.0,4.0,0.0,0.0,1.0
0.0,3.0,401.0,417.0,417.0,0.0,903.0,5.0,759.0,162.0,0.0,181.0,759.0,0.0,180.0,180.0,0.0,0.0,0.0,0.0,1057.0,5.0,0.0,0.0,1.0
0.0,3.0,0.0,0.0,0.0,0.0,200.0,3.0,134.0,134.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0
0.0,1.0,0.0,277.0,277.0,0.0,1206.0,2.0,411.0,201.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813.0,2.0,1.0,0.0,1.0
0.0,2.0,0.0,303.0,303.0,0.0,1114.0,3.0,659.0,201.0,0.0,223.0,659.0,0.0,222.0,333.0,0.0,0.0,1114.0,0.0,682.0,3.0,0.0,0.0,1.0
0.0,2.0,0.0,249.0,345.0,0.0,426.0,2.0,426.0,105.0,0.0,43.0,522.0,0.0,43.0,0.0,0.0,0.0,172.0,0.0,470.0,2.0,1.0,0.0,1.0
0.0,2.0,0.0,207.0,207.0,0.0,1582.0,4.0,953.0,209.0,0.0,316.0,953.0,0.0,316.0,474.0,0.0,0.0,1582.0,0.0,625.0,4.0,0.0,0.0,1.0
0.0,0.0,11.0,0.0,232.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,366.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,232.0,1.0,0.0,0.0,1.0
0.0,1.0,0.0,100.0,100.0,0.0,1006.0,2.0,435.0,201.0,0.0,201.0,435.0,0.0,201.0,301.0,0.0,0.0,1006.0,0.0,436.0,2.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,417.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,924.0,2.0,134.0,134.0,0.0,0.0,134.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,326.0,2.0,1.0,0.0,1.0
0.0,2.0,0.0,2.0,2.0,0.0,960.0,3.0,328.0,136.0,0.0,192.0,328.0,0.0,192.0,194.0,0.0,0.0,960.0,0.0,319.0,3.0,0.0,0.0,1.0
0.0,1.0,207.0,381.0,381.0,0.0,1114.0,3.0,937.0,201.0,0.0,223.0,937.0,0.0,222.0,333.0,0.0,0.0,1114.0,0.0,660.0,3.0,0.0,0.0,1.0
0.0,0.0,0.0,139.0,162.0,0.0,273.0,1.0,273.0,178.0,1.0,0.0,296.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,232.0,1.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,1269.0,3.0,267.0,134.0,0.0,133.0,267.0,0.0,133.0,133.0,0.0,0.0,666.0,0.0,353.0,3.0,0.0,0.0,1.0
0.0,0.0,0.0,49.0,49.0,0.0,794.0,3.0,341.0,183.0,0.0,159.0,341.0,0.0,158.0,207.0,0.0,0.0,794.0,0.0,300.0,3.0,0.0,0.0,1.0
0.0,0.0,34.0,244.0,244.0,0.0,1386.0,3.0,655.0,201.0,0.0,277.0,655.0,0.0,277.0,415.0,0.0,0.0,1386.0,0.0,732.0,3.0,0.0,0.0,1.0
0.0,2.0,76.0,164.0,164.0,473.0,1076.0,8.0,350.0,279.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,8.0,0.0,0.0,1.0
